locality,apartment_type,bhk,floor,rent
Puthiyara,Villa,1,,16000
Panniyankara,Villa,2,,20000
Bilathikulam,Apartment,2,12.0,17000
Bilathikulam,Flat,3,7.0,27500
Koyilandy Road,Apartment,2,3.0,15000
Eranhipalam,Apartment,3,7.0,27500
Malaparamba,Flat,2,4.0,16500
Palayam,Villa,1,,16500
Ulliyeri,Villa,2,,16000
Koyilandy Road,Apartment,2,2.0,16000
Bilathikulam,Villa,2,,27000
Thondayad,Apartment,2,4.0,18000
Panniyankara,Villa,1,,12000
Kottuli,Flat,2,0.0,11500
Feroke,Apartment,3,9.0,24000
Medical College,Flat,3,2.0,35500
Eranhipalam,Apartment,3,4.0,32000
Bilathikulam,Flat,2,5.0,17500
Mankave,Flat,1,3.0,8500
Panniyankara,Apartment,2,9.0,15000
Thiruvannur,Flat,1,2.0,6500
Medical College,Apartment,2,5.0,22000
Koyilandy Road,Apartment,3,0.0,24500
Chevayur,Apartment,3,0.0,30000
Feroke,Flat,2,1.0,13000
Thiruvannur,Apartment,3,6.0,22000
Vellimadukunnu,House,1,,9000
Palayam,Apartment,1,9.0,10500
Puthiyara,Villa,2,,29500
Mathara,Apartment,3,2.0,27500
Bilathikulam,Flat,3,5.0,29500
Kuthiravattom,Villa,4,,50000
Eranhipalam,Flat,2,2.0,18000
Vellimadukunnu,Flat,1,5.0,7500
Kottuli,Apartment,1,14.0,8000
Puthiyara,Apartment,2,8.0,18500
Thiruvannur,House,2,,14000
Chevayur,Flat,1,4.0,10500
Vellimadukunnu,Villa,1,,11500
Vellimadukunnu,Villa,4,,52000
Mankave,Apartment,2,13.0,16000
Calicut University,Apartment,2,2.0,23000
Palayam,Apartment,4,15.0,47000
Beach Road,Flat,3,1.0,37000
Panniyankara,Villa,4,,51500
Koyilandy Road,Flat,3,2.0,25000
Calicut University,Flat,3,2.0,33500
Palayam,Apartment,2,0.0,19500
Puthiyara,Apartment,2,12.0,18500
Mavoor Road,Villa,2,,30000
Malaparamba,Flat,3,4.0,25500
Thondayad,Apartment,2,0.0,17000
Mankave,Flat,1,1.0,9000
Thiruvannur,Flat,4,0.0,27000
Calicut University,Apartment,3,7.0,37000
Calicut University,Flat,2,7.0,18000
Bilathikulam,Flat,1,8.0,9500
Mavoor Road,Apartment,3,6.0,37500
Thondayad,Apartment,1,0.0,8500
Malaparamba,Villa,3,,43000
Panniyankara,Apartment,1,0.0,7500
Chevayur,Apartment,2,9.0,20000
Chevayur,Apartment,2,8.0,20000
Vellimadukunnu,Apartment,1,10.0,7500
Malaparamba,Flat,2,1.0,16000
Puthiyara,Apartment,2,8.0,20000
Thiruvannur,Apartment,2,4.0,13000
Thondayad,House,2,,18500
Mavoor Road,House,2,,27500
Koyilandy Road,Flat,1,3.0,9000
Kottuli,Apartment,1,12.0,8000
Palayam,Flat,1,1.0,10000
Beach Road,Apartment,2,15.0,21500
Mavoor Road,Apartment,3,14.0,35000
Mankave,Flat,2,8.0,14500
Koyilandy Road,Villa,2,,24000
Nadakkavu,Flat,2,5.0,19000
Malaparamba,Flat,3,4.0,27500
Calicut University,House,3,,39000
Kuthiravattom,Flat,2,0.0,13500
Kunnamangalam,Flat,1,3.0,5500
Palayam,Apartment,1,6.0,11000
Puthiyara,Apartment,3,2.0,32000
Malaparamba,House,3,,30500
Bilathikulam,Flat,2,8.0,17000
Palayam,Apartment,1,3.0,11000
Kunnamangalam,Flat,4,2.0,23000
Bilathikulam,Apartment,3,14.0,32500
Palayam,Apartment,3,3.0,31500
Eranhipalam,Flat,2,3.0,17000
Koyilandy Road,Flat,3,6.0,27000
Balussery,Apartment,2,12.0,13000
Kottuli,Apartment,3,3.0,22000
Ulliyeri,Villa,2,,17500
Medical College,Flat,2,6.0,21500
Mankave,House,1,,10500
Puthiyara,Apartment,3,2.0,30000
Vellimadukunnu,Apartment,3,5.0,23500
Palayam,Flat,2,7.0,18500
Malaparamba,Flat,3,5.0,27000
Kottuli,Apartment,3,2.0,23000
Malaparamba,Apartment,1,2.0,9000
Vellimadukunnu,Apartment,2,2.0,16000
Panniyankara,Flat,2,7.0,13500
Malaparamba,Flat,2,3.0,15500
Chevayur,House,3,,38500
Medical College,Apartment,1,2.0,12000
Medical College,House,3,,44000
Puthiyara,Apartment,2,9.0,18500
Puthiyara,Flat,3,8.0,27500
Thondayad,Flat,2,7.0,15500
Palayam,Apartment,2,15.0,19500
Eranhipalam,Flat,1,8.0,8500
Mavoor Road,Flat,2,0.0,18500
Puthiyara,Apartment,3,12.0,33500
Panniyankara,Flat,2,7.0,13500
Bilathikulam,Villa,3,,47000
Nadakkavu,Flat,1,4.0,10000
Palayam,Villa,3,,46500
Thondayad,Flat,3,7.0,27500
Bilathikulam,Apartment,2,4.0,20500
Koduvally,Flat,3,3.0,18500
Koyilandy Road,Flat,1,4.0,8500
Kunnamangalam,Flat,2,4.0,11000
Bilathikulam,Villa,3,,43000
Eranhipalam,Apartment,2,11.0,18000
Nadakkavu,Apartment,3,10.0,34000
Thiruvannur,Flat,1,2.0,6000
Puthiyara,Flat,1,1.0,9000
Mavoor Road,Villa,4,,77500
Thondayad,Flat,2,0.0,15500
Koyilandy Road,Flat,2,1.0,15500
Thiruvannur,Flat,3,0.0,17500
Calicut University,Villa,3,,55500
Kuthiravattom,Apartment,3,9.0,24000
Bilathikulam,Apartment,2,6.0,19000
Palayam,Apartment,3,13.0,32500
Beach Road,House,1,,14000
Koyilandy Road,Flat,2,7.0,15500
Mankave,Apartment,2,4.0,18000
Kuthiravattom,Apartment,3,12.0,24500
Eranhipalam,Apartment,2,9.0,18500
Beach Road,Flat,3,0.0,33500
Medical College,Flat,2,8.0,19000
Chevayur,Apartment,2,6.0,20500
Puthiyara,Apartment,2,14.0,19000
Balussery,House,1,,7500
Bilathikulam,Flat,1,2.0,9500
Nadakkavu,House,1,,13000
Nadakkavu,Villa,2,,29500
Eranhipalam,Flat,3,6.0,27000
Vellimadukunnu,Apartment,3,3.0,24500
Mankave,Flat,3,3.0,25500
Medical College,Apartment,3,1.0,39000
Palayam,Apartment,2,5.0,19500
Mavoor Road,Flat,2,1.0,19500
Nadakkavu,House,1,,12500
Thondayad,House,2,,19000
Nadakkavu,Villa,3,,46500
Koyilandy Road,Flat,1,4.0,9000
Nadakkavu,Apartment,2,8.0,18500
Malaparamba,Flat,3,4.0,27000
Chevayur,Apartment,2,9.0,19000
Vellimadukunnu,Apartment,2,13.0,13500
Kunnamangalam,House,3,,20000
Thondayad,Flat,2,4.0,16000
Koyilandy Road,Villa,1,,12500
Mankave,Apartment,3,4.0,27500
Kottuli,Apartment,3,14.0,24000
Chevayur,Apartment,2,3.0,19500
Kunnamangalam,Apartment,3,5.0,19000
Calicut University,Flat,2,5.0,20500
Kottuli,House,2,,15500
Mankave,Apartment,3,15.0,24500
Chevayur,Flat,2,8.0,16000
Medical College,Apartment,1,2.0,12500
Koduvally,Flat,2,6.0,11500
Mathara,Flat,3,3.0,25500
Beach Road,Apartment,3,0.0,35000
Kottuli,Flat,3,8.0,21000
Puthiyara,Flat,3,7.0,27000
Thondayad,Flat,2,3.0,14500
Calicut University,Apartment,1,5.0,13500
Bilathikulam,Villa,1,,14000
Thondayad,Apartment,2,9.0,17500
Puthiyara,Flat,2,3.0,19000
Beach Road,Flat,3,6.0,34500
Kuthiravattom,Apartment,1,1.0,9000
Panniyankara,Apartment,2,11.0,14500
Mukkam,Apartment,2,13.0,14000
Koyilandy Road,Flat,3,2.0,25500
Malaparamba,Apartment,2,13.0,17500
Thiruvannur,Apartment,2,14.0,12000
Mankave,Flat,2,1.0,14000
Palayam,Flat,3,3.0,33000
Mavoor Road,Apartment,2,2.0,22500
Kottuli,Flat,3,4.0,23000
Vellimadukunnu,Apartment,2,3.0,15500
Vellimadukunnu,Flat,2,6.0,13500
Malaparamba,Flat,2,4.0,15500
Mavoor Road,Apartment,1,9.0,12500
Bilathikulam,Flat,3,4.0,31000
Koyilandy Road,Apartment,3,0.0,27500
Bilathikulam,Flat,2,4.0,16500
Puthiyara,Apartment,1,9.0,10500
Vellimadukunnu,Flat,2,8.0,12500
Mathara,Flat,1,8.0,8000
Malaparamba,Apartment,2,12.0,17500
Eranhipalam,Flat,2,1.0,16000
Koyilandy Road,Apartment,3,13.0,28000
Puthiyara,Apartment,3,8.0,31500
Bilathikulam,Apartment,3,2.0,33000
Medical College,Villa,1,,19000
Nadakkavu,House,3,,39500
Eranhipalam,Flat,3,5.0,30500
Mankave,Apartment,3,3.0,26000
Beach Road,Flat,2,1.0,22000
Nadakkavu,Flat,3,4.0,29000
Malaparamba,Apartment,1,13.0,8500
Mathara,Flat,1,7.0,7500
Thondayad,Apartment,3,0.0,25500
Mathara,Apartment,2,12.0,15500
Calicut University,Flat,2,3.0,21000
Mankave,Flat,2,1.0,15500
Mukkam,Apartment,1,12.0,7500
Mavoor Road,Flat,1,6.0,11500
Palayam,Flat,2,3.0,19500
Medical College,Villa,3,,53500
Kottuli,Flat,2,0.0,11500
Kuthiravattom,Apartment,2,2.0,15000
Puthiyara,Apartment,1,10.0,10000
Palayam,Apartment,2,1.0,20500
Beach Road,Apartment,4,3.0,58500
Panniyankara,Apartment,3,1.0,23500
Malaparamba,Flat,1,7.0,8000
Mavoor Road,Flat,3,3.0,35500
Kottuli,Flat,2,4.0,13000
Puthiyara,Villa,2,,26500
Koyilandy Road,Apartment,3,4.0,28500
Koduvally,Flat,2,1.0,11500
Bilathikulam,Villa,2,,25000
Eranhipalam,House,2,,21500
Mathara,Apartment,2,7.0,16000
Beach Road,Apartment,2,10.0,22000
Kottuli,Flat,4,6.0,32500
Kuthiravattom,Apartment,2,1.0,16500
Vellimadukunnu,Apartment,3,8.0,23500
Vellimadukunnu,Flat,2,8.0,13000
Panniyankara,Flat,2,4.0,15000
Kunnamangalam,Villa,4,,36500
Balussery,Apartment,3,2.0,20500
Palayam,Apartment,2,9.0,18500
Chevayur,Apartment,2,4.0,20500
Feroke,Apartment,3,7.0,21500
Beach Road,Apartment,2,6.0,25500
Thondayad,Apartment,1,2.0,9000
Kottuli,Flat,1,1.0,7500
Chevayur,Flat,3,2.0,30500
Kuthiravattom,Flat,2,0.0,13000
Nadakkavu,Apartment,1,3.0,11000
Koduvally,Apartment,2,4.0,12000
Puthiyara,Apartment,1,5.0,11500
Panniyankara,Apartment,3,2.0,25000
Panniyankara,Apartment,1,8.0,7500
Mukkam,Apartment,3,7.0,22000
Koyilandy Road,Flat,2,7.0,16000
Koyilandy Road,Flat,1,5.0,9000
Koduvally,Flat,2,0.0,10500
Kuthiravattom,Flat,2,5.0,14000
Calicut University,Flat,3,0.0,30000
Eranhipalam,Flat,2,8.0,16500
Nadakkavu,Flat,2,2.0,18500
Chevayur,Villa,2,,28500
Vellimadukunnu,Apartment,1,2.0,8000
Mathara,Apartment,2,2.0,16000
Panniyankara,Flat,1,5.0,8500
Eranhipalam,Villa,1,,15000
Thondayad,Apartment,2,0.0,15000
Thondayad,Flat,1,0.0,8500
Puthiyara,Flat,3,5.0,31000
Balussery,Flat,1,5.0,7000
Eranhipalam,Apartment,3,6.0,29000
Koyilandy Road,Apartment,2,11.0,17500
Mavoor Road,Flat,1,5.0,11000
Kuthiravattom,Flat,4,1.0,35500
Malaparamba,Apartment,1,3.0,10000
Kunnamangalam,Apartment,1,0.0,5500
Koduvally,House,2,,14000
Vellimadukunnu,Villa,3,,35000
Mavoor Road,Flat,1,5.0,11500
Panniyankara,Flat,3,3.0,24000
Beach Road,Apartment,3,5.0,39000
Kuthiravattom,Apartment,2,15.0,15000
Medical College,Flat,1,2.0,12000
Panniyankara,House,2,,16000
Puthiyara,Flat,2,7.0,18000
Koyilandy Road,Villa,2,,24000
Calicut University,Apartment,1,9.0,12500
Mavoor Road,Apartment,1,4.0,13000
Nadakkavu,Apartment,1,4.0,12000
Beach Road,House,2,,26500
Kottuli,Villa,3,,36500
Koduvally,Villa,2,,17000
Kuthiravattom,Apartment,2,1.0,16000
Puthiyara,House,2,,24000
Kuthiravattom,Apartment,2,11.0,14000
Chevayur,Apartment,4,14.0,46500
Thiruvannur,Apartment,1,6.0,7000
Thiruvannur,Flat,3,8.0,17500
Eranhipalam,Flat,2,0.0,15000
Chevayur,Apartment,2,10.0,19500
Vellimadukunnu,Flat,2,5.0,13000
Thondayad,Villa,2,,24000
Medical College,Flat,3,5.0,35500
Kuthiravattom,Villa,3,,38500
Panniyankara,Apartment,3,2.0,26000
Eranhipalam,House,1,,12000
Feroke,Flat,1,4.0,7500
Calicut University,Villa,2,,33000
Feroke,Flat,3,4.0,22500
Thiruvannur,Flat,2,1.0,10500
Beach Road,Apartment,2,7.0,23500
Balussery,Flat,1,0.0,6500
Calicut University,Flat,2,5.0,22000
Nadakkavu,Apartment,2,2.0,20000
Calicut University,Villa,2,,31000
Medical College,Apartment,2,0.0,20500
Mavoor Road,Flat,3,8.0,35500
Mathara,House,2,,17500
Eranhipalam,Apartment,3,8.0,32000
Kunnamangalam,Flat,2,3.0,10000
Kuthiravattom,House,3,,28000
Medical College,Apartment,1,9.0,12500
Thondayad,Flat,1,4.0,9500
Kunnamangalam,House,2,,12000
Mukkam,Flat,1,3.0,7000
Chevayur,Flat,2,5.0,19000
Chevayur,Flat,2,4.0,19000
Koyilandy Road,Villa,1,,13000
Nadakkavu,Apartment,1,15.0,10000
Kunnamangalam,Apartment,1,4.0,6500
Palayam,Apartment,3,2.0,34500
Panniyankara,Flat,1,1.0,7000
Palayam,Apartment,2,4.0,21500
Mavoor Road,Flat,3,5.0,35000
Nadakkavu,Apartment,1,11.0,10500
Balussery,Flat,2,5.0,12500
Eranhipalam,Apartment,3,6.0,29000
Bilathikulam,Flat,2,5.0,18500
Thondayad,Apartment,3,8.0,26000
Nadakkavu,Apartment,2,5.0,21000
Panniyankara,Villa,2,,21500
Nadakkavu,Apartment,3,1.0,34500
Mathara,Apartment,2,15.0,16000
Palayam,Flat,2,7.0,17000
Eranhipalam,House,1,,11000
Mathara,Villa,3,,40000
Kunnamangalam,Flat,3,8.0,17500
Mankave,Apartment,1,11.0,8500
Chevayur,Flat,1,2.0,9000
Malaparamba,Flat,3,4.0,27500
Mathara,Villa,3,,36500
Bilathikulam,Apartment,1,6.0,11000
Puthiyara,Flat,2,4.0,17000
Thiruvannur,Apartment,1,0.0,6000
Mankave,Flat,2,1.0,15000
Chevayur,Apartment,2,14.0,20000
Bilathikulam,Apartment,2,9.0,17000
Vellimadukunnu,Apartment,1,10.0,8000
Koyilandy Road,Villa,3,,38500
Chevayur,Apartment,2,9.0,18500
Medical College,Apartment,3,11.0,34500
Eranhipalam,Flat,2,7.0,17000
Vellimadukunnu,Apartment,1,7.0,8000
Palayam,Apartment,1,15.0,11500
Palayam,Flat,1,0.0,9000
Medical College,Villa,3,,54000
Puthiyara,Apartment,1,13.0,10500
Beach Road,Flat,2,8.0,22000
Bilathikulam,Apartment,2,14.0,19500
Mavoor Road,Flat,2,1.0,22000
Mankave,Apartment,3,2.0,25500
Balussery,Apartment,2,12.0,13000
Bilathikulam,Apartment,3,2.0,30000
Chevayur,Apartment,2,2.0,20500
Kottuli,Apartment,3,8.0,21500
Kunnamangalam,Apartment,2,0.0,10000
Bilathikulam,Apartment,3,10.0,30500
Medical College,Apartment,2,8.0,20500
Medical College,Flat,1,0.0,10500
Kottuli,House,1,,9000
Vellimadukunnu,Apartment,2,6.0,15000
Panniyankara,Apartment,4,0.0,34000
Bilathikulam,Villa,2,,29000
Kuthiravattom,Flat,2,0.0,13000
Chevayur,Flat,2,8.0,16500
Malaparamba,Flat,1,4.0,9000
Malaparamba,Flat,1,2.0,8500
Chevayur,Flat,2,4.0,17000
Mathara,Villa,1,,12000
Mukkam,Apartment,2,4.0,13000
Bilathikulam,Apartment,2,2.0,20000
Medical College,Apartment,3,15.0,38000
Vellimadukunnu,Flat,2,2.0,13000
Kuthiravattom,Flat,4,7.0,32500
Kuthiravattom,Apartment,4,5.0,36000
Panniyankara,Flat,2,8.0,14000
Kunnamangalam,Flat,2,4.0,11000
Eranhipalam,Villa,3,,44500
Eranhipalam,Villa,1,,14000
Nadakkavu,Flat,1,3.0,11000
Thiruvannur,Apartment,2,7.0,11000
Mathara,Flat,3,4.0,26000
Nadakkavu,Apartment,1,12.0,10000
Vellimadukunnu,Villa,2,,20500
Nadakkavu,Villa,2,,31000
Balussery,Flat,2,2.0,12500
Puthiyara,Villa,1,,14500
Beach Road,Apartment,3,1.0,39000
Malaparamba,Flat,3,5.0,24000
Calicut University,Villa,2,,31000
Ulliyeri,Villa,1,,10000
Vellimadukunnu,Flat,2,3.0,14500
Bilathikulam,Apartment,3,5.0,33000
Chevayur,Flat,2,5.0,19000
Thiruvannur,Apartment,3,7.0,20500
Calicut University,Flat,2,7.0,20500
Feroke,Apartment,2,7.0,13500
Thondayad,Flat,4,0.0,36500
Mankave,Flat,1,2.0,8000
Thiruvannur,House,2,,14000
Nadakkavu,Apartment,2,4.0,20500
Kottuli,Apartment,3,3.0,23000
Vellimadukunnu,Villa,2,,20500
Koyilandy Road,Apartment,1,13.0,9500
Nadakkavu,Apartment,2,4.0,20000
Vellimadukunnu,Apartment,2,9.0,15000
Mavoor Road,Villa,3,,52000
Mankave,Apartment,2,13.0,17000
Ulliyeri,Villa,3,,27000
Chevayur,Apartment,2,7.0,20000
Thondayad,Apartment,3,4.0,30000
Kottuli,Apartment,3,15.0,21500
Ulliyeri,Apartment,2,2.0,12000
Bilathikulam,Villa,2,,25500
Malaparamba,Apartment,3,6.0,27000
Thondayad,Apartment,3,2.0,28500
Calicut University,Apartment,3,5.0,37500
Chevayur,Flat,3,3.0,29500
Vellimadukunnu,Villa,2,,20500
Mankave,Flat,2,2.0,15500
Koduvally,Villa,1,,10500
Vellimadukunnu,Apartment,1,12.0,7500
Nadakkavu,Apartment,2,8.0,19500
Medical College,Apartment,2,7.0,22000
Medical College,Apartment,2,11.0,22500
Palayam,Flat,2,8.0,17000
Feroke,Flat,3,3.0,22000
Malaparamba,Flat,2,5.0,16500
Beach Road,Apartment,2,15.0,24000
Beach Road,Apartment,2,0.0,22500
Puthiyara,Apartment,1,0.0,10000
Malaparamba,Apartment,3,9.0,29500
Mathara,Apartment,2,8.0,14500
Malaparamba,Apartment,1,14.0,9500
Thondayad,Villa,2,,24000
Bilathikulam,Apartment,1,3.0,11000
Thondayad,Apartment,1,1.0,10000
Nadakkavu,Villa,1,,16500
Nadakkavu,Villa,2,,30500
Mavoor Road,Flat,2,0.0,20000
Malaparamba,Apartment,2,5.0,18500
Mavoor Road,Apartment,2,15.0,22500
Mankave,Flat,3,3.0,25500
Palayam,Apartment,2,8.0,20500
Mankave,Apartment,1,9.0,9500
Mukkam,Flat,1,5.0,7000
Malaparamba,Apartment,1,14.0,9500
Panniyankara,Flat,2,5.0,13000
Vellimadukunnu,Flat,2,5.0,14500
Medical College,Apartment,2,9.0,21500
Balussery,Flat,1,5.0,6500
Ulliyeri,Flat,2,8.0,10000
Thiruvannur,Flat,1,4.0,6500
Nadakkavu,Apartment,2,7.0,19500
Nadakkavu,Flat,3,7.0,29500
Bilathikulam,Flat,1,3.0,10000
Puthiyara,Apartment,2,5.0,20500
Puthiyara,Apartment,2,6.0,21000
Mankave,House,1,,10500
Calicut University,House,3,,44000
Mankave,Flat,3,3.0,25000
Kottuli,Flat,2,7.0,13500
Nadakkavu,Apartment,3,6.0,33000
Calicut University,Flat,3,7.0,31000
Kunnamangalam,Apartment,3,7.0,18500
Malaparamba,Flat,2,4.0,16500
Chevayur,Flat,4,7.0,43000
Balussery,Villa,3,,30500
Nadakkavu,Flat,1,3.0,10500
Palayam,Flat,1,2.0,9500
Eranhipalam,Apartment,2,6.0,18000
Palayam,Flat,3,7.0,29500
Palayam,Apartment,1,2.0,11000
Puthiyara,Flat,1,3.0,10000
Panniyankara,Apartment,2,4.0,15000
Koyilandy Road,Apartment,1,7.0,8000
Chevayur,Flat,3,3.0,29500
Kunnamangalam,House,2,,13000
Eranhipalam,Apartment,1,4.0,10000
Eranhipalam,Apartment,3,3.0,32500
Balussery,Apartment,4,7.0,28000
Calicut University,Apartment,2,11.0,22000
Kottuli,Villa,1,,11000
Malaparamba,Flat,4,4.0,37000
Chevayur,Villa,2,,30000
Mathara,Apartment,3,6.0,26000
Vellimadukunnu,Apartment,2,4.0,14500
Nadakkavu,Villa,2,,29500
Puthiyara,Flat,2,6.0,19500
Nadakkavu,House,1,,12000
Palayam,Flat,2,3.0,17500
Kottuli,Flat,2,2.0,13500
Bilathikulam,Apartment,2,1.0,17500
Koduvally,Apartment,1,9.0,7000
Calicut University,Apartment,1,5.0,13000
Kuthiravattom,Flat,2,0.0,14000
Beach Road,Apartment,1,3.0,12000
Puthiyara,Flat,2,8.0,17500
Puthiyara,Apartment,2,7.0,20000
Kuthiravattom,Apartment,2,9.0,15500
Kottuli,Villa,1,,11000
Mavoor Road,Villa,3,,54500
Chevayur,House,2,,22000
Eranhipalam,Flat,1,8.0,9000
Calicut University,Flat,3,6.0,36500
Kunnamangalam,Flat,1,6.0,5500
Eranhipalam,Flat,4,5.0,41500
Koyilandy Road,Apartment,1,9.0,8500
Eranhipalam,Apartment,2,6.0,19500
Puthiyara,Villa,3,,48500
Koyilandy Road,Flat,1,1.0,8500
Mankave,Apartment,1,4.0,9000
Koduvally,House,2,,15000
Chevayur,Apartment,1,0.0,9500
Puthiyara,Villa,1,,15000
Mankave,Apartment,3,5.0,26500
Feroke,Flat,4,5.0,32000
Vellimadukunnu,Villa,3,,35500
Koduvally,Apartment,2,10.0,11000
Malaparamba,Apartment,3,1.0,26000
Mavoor Road,Apartment,1,8.0,11500
Kuthiravattom,Villa,2,,21500
Koduvally,Apartment,1,3.0,6500
Chevayur,Villa,2,,30000
Calicut University,Flat,1,5.0,12000
Chevayur,Apartment,2,4.0,21500
Mathara,Apartment,3,15.0,26000
Thondayad,Villa,3,,40500
Malaparamba,Apartment,2,3.0,15500
Mathara,Flat,1,3.0,8500
Mankave,House,3,,31000
Panniyankara,Flat,3,0.0,20500
Puthiyara,Apartment,4,1.0,47000
Beach Road,Apartment,3,12.0,36500
Vellimadukunnu,Apartment,4,13.0,32000
Palayam,House,3,,37500
Panniyankara,Apartment,2,14.0,14000
Medical College,Flat,1,1.0,11500
Kunnamangalam,Apartment,3,10.0,18500
Panniyankara,Flat,1,6.0,8000
Mankave,Apartment,3,8.0,27000
Calicut University,Flat,1,2.0,11000
Mukkam,Apartment,1,1.0,7500
Thondayad,Villa,2,,25000
Puthiyara,Flat,3,3.0,28000
Nadakkavu,Villa,2,,27500
Panniyankara,Apartment,2,3.0,16000
Nadakkavu,Apartment,2,15.0,19000
Vellimadukunnu,Flat,2,2.0,12500
Bilathikulam,Flat,2,8.0,16000
Balussery,Villa,2,,17000
Kunnamangalam,Apartment,2,2.0,12000
Mavoor Road,Apartment,1,7.0,12500
Vellimadukunnu,Villa,3,,36500
Mathara,Apartment,2,11.0,15000
Kottuli,Villa,2,,20000
Vellimadukunnu,Apartment,2,12.0,13500
Kunnamangalam,Apartment,2,12.0,11000
Chevayur,Apartment,3,2.0,32000
Panniyankara,Flat,4,3.0,30500
Panniyankara,Apartment,3,1.0,24500
Bilathikulam,Villa,2,,26000
Mankave,Apartment,2,1.0,17500
Calicut University,Flat,1,0.0,10000
Balussery,Apartment,1,1.0,6500
Kottuli,Flat,2,5.0,14000
Kuthiravattom,Flat,2,4.0,13500
Balussery,Apartment,2,15.0,13500
Beach Road,Apartment,2,9.0,23500
Thiruvannur,Apartment,1,12.0,6000
Kunnamangalam,House,2,,13500
Kunnamangalam,Flat,2,7.0,10500
Panniyankara,Villa,1,,12000
Kottuli,Villa,3,,36000
Panniyankara,Villa,2,,20500
Eranhipalam,Apartment,2,12.0,18500
Panniyankara,Flat,2,4.0,14500
Calicut University,Flat,4,0.0,43000
Chevayur,Flat,3,6.0,28000
Bilathikulam,Villa,3,,47000
Mavoor Road,Apartment,2,13.0,23000
Puthiyara,Flat,3,7.0,27500
Kunnamangalam,Apartment,1,0.0,6000
Nadakkavu,Flat,3,3.0,29500
Kuthiravattom,Flat,3,5.0,25000
Panniyankara,Flat,2,4.0,14000
Calicut University,Flat,1,1.0,11000
Malaparamba,Apartment,3,11.0,26500
Beach Road,Apartment,1,15.0,13000
Thiruvannur,House,2,,14000
Koyilandy Road,Apartment,4,4.0,41500
Panniyankara,Apartment,1,0.0,7500
Koduvally,Flat,3,5.0,19500
Eranhipalam,Villa,3,,47500
Nadakkavu,Apartment,1,4.0,12000
Medical College,Flat,2,6.0,22000
Eranhipalam,Apartment,3,5.0,32000
Medical College,Flat,2,5.0,22500
Chevayur,Flat,2,7.0,18500
Chevayur,Flat,1,7.0,9000
Bilathikulam,Apartment,3,7.0,32500
Mavoor Road,Villa,2,,33500
Bilathikulam,House,2,,21000
Panniyankara,Flat,2,0.0,12500
Nadakkavu,House,2,,21000
Nadakkavu,Flat,1,4.0,10500
Mavoor Road,Flat,1,1.0,12000
Kuthiravattom,Apartment,2,8.0,15000
Kuthiravattom,Apartment,1,4.0,8500
Medical College,House,2,,26000
Mankave,Villa,1,,13500
Eranhipalam,Apartment,1,11.0,10000
Kuthiravattom,Apartment,1,8.0,8000
Puthiyara,Villa,2,,29500
Mankave,Apartment,2,14.0,15000
Eranhipalam,Flat,2,2.0,17500
Mathara,Flat,2,8.0,15000
Mavoor Road,Apartment,1,4.0,12000
Thondayad,Apartment,2,9.0,16500
Palayam,Flat,3,4.0,30500
Mukkam,Apartment,3,13.0,20500
Eranhipalam,Apartment,1,8.0,10500
Koduvally,Apartment,3,10.0,19000
Chevayur,Villa,2,,28000
Thondayad,Apartment,2,11.0,17000
Mankave,Apartment,2,13.0,15500
Palayam,House,2,,22000
Mankave,Apartment,2,3.0,17500
Thondayad,Apartment,2,6.0,17500
Kottuli,Apartment,1,12.0,7000
Mankave,Apartment,1,10.0,8000
Malaparamba,Apartment,1,12.0,9000
Panniyankara,Flat,1,6.0,8000
Chevayur,Apartment,1,15.0,10000
Kuthiravattom,Apartment,2,8.0,15000
Calicut University,Apartment,1,1.0,11000
Calicut University,Apartment,3,9.0,38000
Puthiyara,Flat,2,2.0,17500
Eranhipalam,Apartment,2,8.0,19000
Koyilandy Road,Flat,2,0.0,13500
Chevayur,Flat,2,4.0,19000
Calicut University,Flat,2,1.0,20000
Mankave,Villa,1,,13000
Palayam,Flat,1,0.0,10500
Medical College,Flat,1,8.0,11500
Thiruvannur,Villa,3,,27000
Eranhipalam,Apartment,3,4.0,32500
Palayam,Apartment,3,15.0,32500
Calicut University,Flat,2,5.0,20000
Kuthiravattom,Apartment,2,6.0,15500
Ulliyeri,Apartment,1,5.0,7000
Puthiyara,Flat,2,4.0,18500
Koyilandy Road,Apartment,3,13.0,26500
Beach Road,Villa,1,,18500
Chevayur,Apartment,2,11.0,20000
Eranhipalam,Apartment,3,5.0,28500
Beach Road,Flat,2,7.0,21500
Medical College,Flat,1,1.0,11000
Kottuli,Apartment,2,8.0,15000
Chevayur,Apartment,3,3.0,31500
Chevayur,Apartment,2,12.0,18500
Thiruvannur,Villa,4,,45000
Puthiyara,Flat,2,7.0,18000
Mathara,Flat,2,4.0,14500
Mavoor Road,House,2,,26000
Palayam,Apartment,4,10.0,50000
Bilathikulam,Flat,1,1.0,9000
Malaparamba,Villa,1,,14000
Feroke,Flat,3,7.0,22000
Ulliyeri,Apartment,2,1.0,12000
Feroke,Flat,2,2.0,12500
Bilathikulam,Villa,3,,45000
Kunnamangalam,House,4,,31000
Thondayad,Apartment,4,5.0,43000
Mathara,Flat,1,1.0,7500
Puthiyara,Apartment,3,2.0,31000
Mathara,Flat,1,0.0,7000
Malaparamba,Apartment,1,7.0,8500
Koyilandy Road,House,1,,10500
